ads
adware
amsi
android
antianalysis
antiav
antidebug
antiemulation
antisandbox
antivirus
antivm
applocker
apt
athena
avdetect
backdoor
banker
banking
betabot
bind
bitcoin
browser
bypass
c24
clickfraud
cloud
cnc
commands
crash
cryptocurrency
ddos
dns
downloader
dropper
execution
expdom
exploit
filesharing
filetransfer
fraudtool
freehosting
generic
hacktool
hooking
http
icmp
im
injection
irc
keylogger
lateral_movement
madness
malware
martian
meterpreter
mining
network
obfuscation
ocr
office
origin
p2p
packer
persistance
persistence
ponybot
pos
powershell
privileges
ransom
rat
recon
rootkit
script
service
shellcode
smtp
sniffer
solarbot
spam
spreading
ssh
static
stealer
stealth
targeted
tldwatch
tor
trojan
unpacking
urlshort
vba
vertex
warbot
wiper
wmi
worm
